"filename", "language", "PHP", "Markdown", "JSON", "XML", "JavaScript", "CSS", "SCSS", "Less", "Ruby", "comment", "blank", "total"
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\.idea\php.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\.idea\veterianaria.iml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Config\App\Autoload.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Config\App\Conexion.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Config\App\Controller.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Config\App\Helpers.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Config\App\Query.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Config\App\Views.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Config\Config.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Config\Helpers.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Admin.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Categorias.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 117
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Clientes.php", "PHP", 206, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 225
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Contactos.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 56
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Errors.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Home.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Pedidos.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 82
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Principal.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 116
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Productos.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 119
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Controllers\Usuarios.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 102
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Models\AdminModel.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\Models\CategoriasModel.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43
